,French,English
0,je,I
1,de,of
2,est,East
3,pas,not
4,le,the
5,vous,you
6,la,the
7,tu,you
8,que,than
9,un,a
10,il,he
11,et,and
12,à,at
13,a,at
14,ne,born
15,les,the
16,ce,this
17,en,in
18,on,we
19,ça,that
20,une,a
21,ai,have
22,pour,for
23,des,from
24,moi,me
25,qui,who
26,nous,we
27,y,Y
28,mais,corn
29,me,me
30,dans,in
31,du,from
32,bien,good
33,elle,she
34,si,if
35,tout,all
36,plus,more
37,non,no
38,mon,my
39,suis,am
40,te,you
41,au,to
42,avec,with
43,va,goes
44,oui,Yes
45,toi,you
46,fait,made
47,ils,they
48,as,have
49,être,to be
50,faire,make
51,se,be
52,comme,like
53,était,was
54,sur,on
55,quoi,what
56,ici,here
57,sais,know
58,lui,him
59,veux,want
60,ma,my
61,là,the
62,rien,nothing
63,dit,said
64,es,es
65,où,or
66,votre,your
67,pourquoi,Why
68,sont,are
69,cette,that
70,quand,when
71,par,by
72,son,his
73,ton,your
74,peux,can
75,vais,am going to
76,dire,to say
77,alors,so
78,comment,How? 'Or' What
79,avez,have
80,bon,Well
81,ou,Where
82,très,very
83,merci,thank you
84,ont,have
85,même,same
86,jamais,never
87,aussi,too
88,voir,to see
89,chose,thing
90,allez,go
91,tous,all
92,deux,of them
93,ces,those
94,faut,should
95,sa,her
96,êtes,are
97,été,summer
98,ta,your
99,fais,do
100,avoir,to have
101,peut,can
102,autre,other
103,m,m
104,encore,again
105,maintenant,now
106,peu,little
107,mes,my
108,vraiment,really
109,temps,time
110,notre,our
111,toujours,always
112,vie,life
113,sans,without
114,juste,fair
115,oh,Oh
116,avait,had
117,accord,OK
118,vu,seen
119,monde,world
120,quelque,some
121,fois,times
122,aller,go
123,trop,too much
124,viens,come
125,crois,believe
126,dieu,God
127,dois,have
128,homme,man
129,père,dad
130,sûr,sure
131,aux,to
132,leur,their
133,avant,before
134,étais,tenuous
135,besoin,need
136,femme,women
137,aime,love
138,personne,person
139,avais,had
140,chez,at the house of
141,vrai,true
142,ans,years
143,mal,wrong
144,ses,his
145,parler,to speak
146,vos,your
147,après,after
148,mort,dead
149,veut,wants
150,eu,eu
151,sera,will be
152,bonne,good
153,parce,by
154,mieux,better
155,petit,small
156,voilà,here is
157,tes,your
158,ca,that
159,dis,say
160,beaucoup,many
161,depuis,since
162,doit,must
163,vois,see
164,mère,mother
165,vas,go
166,monsieur,Sir
167,quel,what
168,déjà,already
169,fille,girl
170,gens,people
171,donc,so
172,jour,day
